test_sentence,most_sim_sentence
"['1', '尤为严重的是，他常常教小明\ue00b班上的一个弱智学生\ue00c说脏话，还时时欺侮他。']","['2', '他懂的课外知识要比其他同学多，因而有时他会嘲笑同学的无知，但真正要他做时，他又做得不是很好。']"
"['0', '但好动、倔强、自我约束能力差，因此常与同学闹矛盾甚至大打出手']","['0', '课下总爱和同学打闹，总想欺负别人，自我保护意识特别强，只有占了上风才肯罢休。']"
"['2', '他的头脑里几乎没有纪律的观念，迟到、早退、甚至不上课、顶撞老师是经常的事情，但他所犯的每一个错误都有一个让我哭笑不得的理由。']","['0', '他的不正常表现太多了，只要班级开着窗，他就会爬上窗台，坐在窗口手舞足蹈，根本不管教室是几楼，这种做法曾经吓坏了老师；只要下课就和同学打架，打人、挑衅是家常便饭，而且在他看来同学们都有挨打的足够理由，同学们认为他不正常，所以都见怪不怪，没有人理他；他无论是一人独处还是在课堂上，嘴都不闲着，总是念念有词，旁若无人，不但投入，而且还乐在其中……他完全与普通学生不一样。']"
"['0', '班里有一位叫张佳音的女同学，因先天性原因，造成她的多动，上下课和同学打架，同学们学习不得安宁。']","['0', '当班主任第三年时，班里来了一个特殊学生，一个复读生。他的前班主任告诉我，这是个问题学生，学习成绩和行为习惯都很差，攻击性很强，常常惹是生非，是一个让老师头疼，同学嫌弃的学生。我当时就想着一定要在开始就镇住他，让他知道我这个班主任也不一般，否则以后会越来越难管理。果然，这个孩子的特殊名不虚传。上课，他情绪低落，对学习毫无兴趣；下课，他胡打乱闹，和同学一言不合就挥起了拳头。短短几天就屡屡犯错，每天不是科任老师就是学生向我告状。我找他谈话、批评都无济于事，真让人头疼。']"
"['2', '高一时候就因严重违纪被警告处分，以后一直黄卡不断，老师的谆谆教导，家长的苦苦哀求，也全被他当作耳旁风。']","['0', '一次，他因为讲话被班干部记了名字，气愤之余他竟动手暴打班干部。']"
"['0', '上课不专心听讲，要么搞小动作，要么影响别人学习，提不起一点学习的兴趣；下课追逐打闹，喜欢动手动脚；作业不做，即使做了，也做不完整，书写相当潦草……每天都有学生向我告状。']","['0', '上课根本坐不住，下课不是推别人，就是打别人，或是对别人吐口水……小朋友们被他弄得哭的哭，叫的叫，躲的躲。']"
"['0', '有这样一个学生，名叫周越珊，这个孩子有倔脾气，爱和同学打架，上课不认真听讲，回家作业经常不做，即使做了，也敷衍了事……每天总有学生向我告状']","['0', '我遇到了这样一个学生，他叫小洋，从入学进班起，他上课就总是搞小动作、乱讲话影响别人；下课追逐打闹，习惯坐在或趴在地上，还爱打同学，经常有学生告诉我他打人，并且每当我批评他时，他总是理直气壮地说：“是他先惹我的！”面对这样一个孩子，我应该怎样如何进行教育和引导，帮助他改掉身上的不良行为呢？']"
"['0', '初一上学期时，上课要么扰乱他人学习，要么情绪低落；下课胡乱打闹，同学间经常闹矛盾，同学们都嫌弃他；不做作业，各门功课单元测试不及格……每一天不是科任老师就是学生向我告状。']","['0', '上学期插入本班以来，行为习惯非常不好。课堂随意讲话嬉笑，出怪声音，经常追逐打闹。在宿舍更是肆无忌惮，在四楼拿矿泉水瓶向下砸女生，带鞭炮在宿舍偷放，似一匹脱缰的野马，根本不服从老师管理。班主任多次与家长沟通，用尽各种教育方法，收效甚微。']"
"['0', '他性格急躁，易冲动，缺乏群众荣誉感，对待同学也不友善，甚至有时有欺压行为，经常与他人发生矛盾，在上中学之前，就曾与他人发生冲突，他甚至还持刀带人去另一所学校挑衅，幸好警察及时赶到，制止了事件的发生']","['0', '可他又性格急躁，经常和同学发生矛盾；很好动，管不住自己的手和口，说不到几句话就会抡起拳头，谁都惹不起，也没有同学愿意和他交朋友，任课老师也都反映他上课老爱“接下嘴”，不守纪律。']"
"['0', '在他初一从外校来到我们班之后，他也并没有意识到自身不足之处而加以改正，不到一个月就与初三年级的学生打架，之后又向他人借钱不还，当事件被揭发出来，自己不但不思悔改，反而却大发脾气，欲上前打人，当时他的母亲也在现场，却对他束手无策']","['0', '我刚接手这个班级的第一天他就和别的同学打闹，不小心撞碎了班级的门玻璃。因此他也成了在这个班级里我第一个认识的学生。“捣蛋”真的像一颗不定时的炸弹一样，让我神经紧张。因为总是在我下课后，刚要提笔批作业的时候，我们班其他的同学就风风火火的跑过来告诉我：“捣蛋”和某某打起来了，“捣蛋”又如何如何了。在我批评了他两次以后，我发现并没有减少他犯错的次数，相反我到觉得他听着批评的话就像听到表扬一样顺耳。这样屡教不改的孩子很是让我生气，但生气的同时，我意识到：孩子早已经习惯了老师的批评，一味的批评使这个孩子麻木了。']"
"['0', '刚上学时，上课要么扰乱他人学习，要么低头搞小动作；课间胡乱打闹，同学间经常闹矛盾，同学们都嫌弃他']","['0', '平时参加同学们的课间游戏时，总喜欢捣乱，不是推倒这个，就是打得那个同学哭，搅得同学们不得安宁']"
"['0', 'A某---一个有才气的男孩，但好动、倔强、自我约束潜力差，因此常与同学闹矛盾甚至大打出手，上课经常用心举手但也时常废话连篇，影响周围同学听课，干扰老师上课，真让我头痛']","['0', '但小轩毕竟是个特殊的孩子，易怒，爱攻击人，不善于和同学交往。']"
"['2', '初一上学期时，上课经常和别的同学一齐在课堂上玩儿或者做小动作，也不听老师的劝告，严重影响课堂秩序']","['0', '开学一周，他每天都和同学打几架。有时他从别人身边过时故意碰撞他人，有时堵着门口不让同学进出，有时喝水时喷别人一身水等等。在同学中说一不二，否则拳脚相加，同学都怕他，叫他轩哥。不论班主任老师怎样批评教育，都没有什么改变，每天照样欺负同学。一天课间，班里面吵吵嚷嚷一团糟，我进教室一看，他正站在椅子上瞪着同学们耀武扬威的样子。我看到顿时生气了，瞪着他，厉声说：“你干什么呢！快下来！”没想到他丝毫不买账，不但没有下来，反而一脚踏上桌子，一点不害怕，他眼睛乜斜着，一副挑战的样子，说“我就不！”教书这么多年，遇到的特殊学生也不少了，还没有碰到一个像这样不怕老师不懂事的孩子。']"
"['0', '下课胡乱打闹，脾气暴躁，同学间经常闹矛盾;']","['0', '下课胡乱打闹，同学间经常闹矛盾']"
"['1', '在宿舍，和宿舍长吵闹，不按时休息，同学们都嫌弃他；']","['0', '下课胡乱打闹，同学间经常闹矛盾，同学们都嫌弃他；']"
"['2', '学生本人很机灵聪明，理解潜力强，能言善辨，懂得的道理也多，但是由于家庭教育方式、社会环境影响等方面的原因，该学生一向对学习没有真正产生兴趣，作业也不能按时完成，学习行为习惯很差，上课不遵守课堂纪律，经常自己不听课还干扰别人；老师、同学讲话时喜欢插嘴，有时上课会喊一些和课堂无关的话，而且只能表扬，不能批评，只要受到老师批评就会情绪激动，或与老师狡辨']","['0', '在班上有一个学生，他多动，上课没几分安静，对学习没有一点兴趣，要么搞小动作，要么自言自语，要么影响别人学习；下课追逐打闹，他最活跃，喜欢动手动脚；作业不做，即使做了，也做不完整，书写相当潦草······']"
"['0', '可正当我和其他的学生兴趣十足的讨论问题时，他居然无视我的存在，随意的站起、离开座位走动，还随意地动别人的东西，找别人讲话，别人不与他讲话时，还大打出手']","['2', '在教官带大家练习队形时，他竟然恶作剧把前面一个男孩子的裤子给扯了下来，那个男孩子当场就哭了，转过身推了他一下。']"
"['0', '事隔不久的一天晚上，他和坐他后面的一个女同学打架，我明白后并没有立刻对他们进行批评']","['0', '我刚接手这个班级的第一天他就和别的同学打闹，不小心撞碎了班级的门玻璃。因此他也成了在这个班级里我第一个认识的学生。“捣蛋”真的像一颗不定时的炸弹一样，让我神经紧张。因为总是在我下课后，刚要提笔批作业的时候，我们班其他的同学就风风火火的跑过来告诉我：“捣蛋”和某某打起来了，“捣蛋”又如何如何了。在我批评了他两次以后，我发现并没有减少他犯错的次数，相反我到觉得他听着批评的话就像听到表扬一样顺耳。这样屡教不改的孩子很是让我生气，但生气的同时，我意识到：孩子早已经习惯了老师的批评，一味的批评使这个孩子麻木了。']"
"['2', '但这个学生一贯纪律散漫、上课不爱听、常有小动作和说话现象相伴，有时还爱跟任课教师抬抬杠，学校、班里组织的活动经常不参加，而且谁用心参加他还挖苦讽刺，平时还常迟到']","['0', '在班上有一个学生，他多动，上课没几分安静，对学习没有一点兴趣，要么搞小动作，要么自言自语，要么影响别人学习；下课追逐打闹，他最活跃，喜欢动手动脚；作业不做，即使做了，也做不完整，书写相当潦草······']"
"['0', '不明白为什么，他总是生事，前几天才和别的同学打架，真让人头痛']","['0', '我刚接手这个班级的第一天他就和别的同学打闹，不小心撞碎了班级的门玻璃。因此他也成了在这个班级里我第一个认识的学生。“捣蛋”真的像一颗不定时的炸弹一样，让我神经紧张。因为总是在我下课后，刚要提笔批作业的时候，我们班其他的同学就风风火火的跑过来告诉我：“捣蛋”和某某打起来了，“捣蛋”又如何如何了。在我批评了他两次以后，我发现并没有减少他犯错的次数，相反我到觉得他听着批评的话就像听到表扬一样顺耳。这样屡教不改的孩子很是让我生气，但生气的同时，我意识到：孩子早已经习惯了老师的批评，一味的批评使这个孩子麻木了。']"
"['0', '刚进文公中学时，他因多次违反学校纪律（如打架斗殴）而被学校处分，几经周折的他重新回到班级']","['0', '随后的几天，不断地有学生告小宇的状，在思品课上跟老师吵架，甚至要打老师，影响全班同学上课了；甚至在数学课上都大声嚷嚷，让同学们无法上课。更不用说下课了，把同学的座位撞倒了，把水随便往人身上洒了，用黑板擦打人了，还有同学跟我说他三年级的时候跟数学老师对着打，总之是坏事不断，好事没有一件有他。']"
"['2', '高二（4）班由外校转来的吴非同学，个性极强，脾气又犟，好表现自己，上课好动，爱讲话，生活散漫，我行我素，自制力差，爱抬扛。']","['0', '他叫赵磊，比班内同学大一到两岁，留过级，很讲义气，品性散漫，贪玩，爱打架，并和社会上无业青年交往']"
"['1', '一年来，他所犯的错误不少，不时地因小事而跟老师、同学拌嘴，张扬个性']","['0', '他的不正常表现太多了，只要班级开着窗，他就会爬上窗台，坐在窗口手舞足蹈，根本不管教室是几楼，这种做法曾经吓坏了老师；只要下课就和同学打架，打人、挑衅是家常便饭，而且在他看来同学们都有挨打的足够理由，同学们认为他不正常，所以都见怪不怪，没有人理他；他无论是一人独处还是在课堂上，嘴都不闲着，总是念念有词，旁若无人，不但投入，而且还乐在其中……他完全与普通学生不一样。']"
